BBA,algae,coszen,dust,rds,rho,soot
0.7558763727435928,1000000,0.7,1000,300,300,1000
0.7558763727435928,1000000,0.7,1000,300,300,5000
0.7558763727435928,0,0.7,100000,300,300,0
0.7558763727435928,0,0.7,100000,300,300,100
0.7558763727435928,0,0.7,100000,300,300,1000
0.7558763727435928,0,0.7,100000,300,300,5000
0.7558763727435928,1000,0.7,100000,300,300,0
0.7558763727435928,1000,0.7,100000,300,300,100
0.7558763727435928,1000,0.7,100000,300,300,1000
0.7558763727435928,1000,0.7,100000,300,300,5000
0.7558763727435928,100000,0.7,100000,300,300,0
0.7558763727435928,100000,0.7,100000,300,300,100
0.7558763727435928,100000,0.7,100000,300,300,1000
0.7558763727435928,100000,0.7,100000,300,300,5000
0.7558763727435928,250000,0.7,100000,300,300,0
0.7558763727435928,250000,0.7,100000,300,300,100
0.7558763727435928,250000,0.7,100000,300,300,1000
0.7558763727435928,250000,0.7,100000,300,300,5000
0.7558763727435928,500000,0.7,100000,300,300,0
0.7558763727435928,500000,0.7,100000,300,300,100
0.7558763727435928,500000,0.7,100000,300,300,1000
0.7558763727435928,500000,0.7,100000,300,300,5000
0.7558763727435928,1000000,0.7,100000,300,300,0
0.7558763727435928,1000000,0.7,100000,300,300,100
0.7558763727435928,1000000,0.7,100000,300,300,1000
0.7558763727435928,1000000,0.7,100000,300,300,5000
0.7558763727435928,0,0.7,250000,300,300,0
0.7558763727435928,0,0.7,250000,300,300,100
0.7558763727435928,0,0.7,250000,300,300,1000
0.7558763727435928,0,0.7,250000,300,300,5000
0.7558763727435928,1000,0.7,250000,300,300,0
0.7558763727435928,1000,0.7,250000,300,300,100
0.7558763727435928,1000,0.7,250000,300,300,1000
0.7558763727435928,1000,0.7,250000,300,300,5000
0.7558763727435928,100000,0.7,250000,300,300,0
0.7558763727435928,100000,0.7,250000,300,300,100
0.7558763727435928,100000,0.7,250000,300,300,1000
0.7558763727435928,100000,0.7,250000,300,300,5000
0.7558763727435928,250000,0.7,250000,300,300,0
0.7558763727435928,250000,0.7,250000,300,300,100
0.7558763727435928,250000,0.7,250000,300,300,1000
0.7558763727435928,250000,0.7,250000,300,300,5000
0.7558763727435928,500000,0.7,250000,300,300,0
0.7558763727435928,500000,0.7,250000,300,300,100
0.7558763727435928,500000,0.7,250000,300,300,1000
0.7558763727435928,500000,0.7,250000,300,300,5000
0.7558763727435928,1000000,0.7,250000,300,300,0
0.7558763727435928,1000000,0.7,250000,300,300,100
0.7558763727435928,1000000,0.7,250000,300,300,1000
0.7558763727435928,1000000,0.7,250000,300,300,5000
0.7558763727435928,0,0.7,500000,300,300,0
0.7558763727435928,0,0.7,500000,300,300,100
0.7558763727435928,0,0.7,500000,300,300,1000
0.7558763727435928,0,0.7,500000,300,300,5000
0.7558763727435928,1000,0.7,500000,300,300,0
0.7558763727435928,1000,0.7,500000,300,300,100
0.7558763727435928,1000,0.7,500000,300,300,1000
0.7558763727435928,1000,0.7,500000,300,300,5000
0.7558763727435928,100000,0.7,500000,300,300,0
0.7558763727435928,100000,0.7,500000,300,300,100
0.7558763727435928,100000,0.7,500000,300,300,1000
0.7558763727435928,100000,0.7,500000,300,300,5000
0.7558763727435928,250000,0.7,500000,300,300,0
0.7558763727435928,250000,0.7,500000,300,300,100
0.7558763727435928,250000,0.7,500000,300,300,1000
0.7558763727435928,250000,0.7,500000,300,300,5000
0.7558763727435928,500000,0.7,500000,300,300,0
0.7558763727435928,500000,0.7,500000,300,300,100
